,caption,likes,comments,date,url,likes/followers,comments/followers,username
0,"👀👀👀…🥣🧋
New drink anyone?

#boba #bubbletea #bobagang #KFT #milktea #bobabesties #americasbubbletea #bobamilktea #bobatea #bobalife #bobaaddict #bobarista #bobatime #bubbletealover #bubbleteatime",1183,15,2024-02-17T18:00:25,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428627034_799487848875812_2385044735053402427_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=t85-Hy5lDuYAX-nqQCu&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwNDg4MzQxMzc5MTgzNDg0NA%3D%3D.2-ccb7-5&oh=00_AfB1B9oYkJi7qDP4bIzTijh7eVgspEVrl5LQuO6U1CpH3w&oe=65D580DB&_nc_sid=fc8dfb,0.0028964217072483993,3.672554996511073e-05,kungfuteausa
1,"Still feelin' the love today 😍

#boba #bubbletea #bobagang #KFT #milktea #bobabesties #americasbubbletea #bobamilktea #bobatea #bobalife #bobaaddict #bobarista #bobatime #bubbletealover #bubbleteatime",1981,12,2024-02-15T22:30:12,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/426544316_798804845610779_2156078813482569092_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=wuzrUPkPCGgAX_YybNJ&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwMzU2OTY0ODIyNDM4MDkzMA%3D%3D.2-ccb7-5&oh=00_AfBv-HbY8mkgsVtXxvn1eEROyCh-lKHqxkvPAv9jQVOLow&oe=65D551FA&_nc_sid=fc8dfb,0.00485022096539229,2.938043997208858e-05,kungfuteausa
2,"Roses are red, violets are blue, here's a boba-themed crossword puzzle for you 😍
Check out our stories tomorrow for the answer key!

#boba #bubbletea #bobagang #KFT #milktea #bobabesties #americasbubbletea #bobamilktea #bobatea #bobalife #bobaaddict #bobarista #bobatime #bubbletealover #bubbleteatime",719,8,2024-02-14T22:01:54,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428297736_798115689013028_3305524514014153118_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNTQ1eDE5MzEuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=cWtHabYP1ToAX9OVnSk&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwMjgzMDYyOTMyNDgzNDY3NA%3D%3D.2-ccb7-5&oh=00_AfCkKU_imX2QX9CbtEpy49TH5ZC3QGmhFnHpUZ1K1204TA&oe=65D6E8B2&_nc_sid=fc8dfb,0.001760378028327641,1.9586959981392388e-05,kungfuteausa
3,"We’re sharing our boba love this Valentine’s Day 🧋😍

TODAY ONLY, buy one of our Miraculous Series drinks and get a second free when you order on the KFT App 📲

#KungFuTeaxMiraculous #miraculousladybug #Miraculous #kft #Ladybug #kftpartner #kungfuteacollab #CatNoir #CocoaCataclysm #SpotsOnLemonade #miraculousdrink #kungfutea #boba #bubbletea #americasbubbletea",2851,18,2024-02-14T14:55:18,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428161130_797874162370514_4901401563411304657_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMDQ2eDIwNDguc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=G-nqtQ0grn8AX8fKUg4&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwMjYxNTkxMDI2OTU5NDQ0OA%3D%3D.2-ccb7-5&oh=00_AfD3J_jZ-IBkROErYNIonUly80GkZXJz0Rzf4tfeTpHHlw&oe=65D4FB85&_nc_sid=fc8dfb,0.006980302863368712,4.407065995813287e-05,kungfuteausa
4,"Our Dragon Boba Buddy Plush is SOLD OUT! 
Thank you to everyone who placed an order 😍

Fear not! You can still get your hands on our Boba Buddy Keychains 🥹
Snag yours before they sell out!

#boba #bubbletea #bobagang #KFT #milktea #bobabesties #americasbubbletea #bobamilktea #bobatea #bobalife #bobaaddict #bobarista #bobatime #bubbletealover",772,9,2024-02-13T22:41:21,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428012755_797438952414035_2538808661785733213_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=99iLQA5z0tcAX-1-3rU&edm=APU89FAAAAAA&ccb=7-5&oh=00_AfBFVA2m4lZLFYOXOElwuuRuyJZiRAnfo03rNHpV3KfULQ&oe=65D6D099&_nc_sid=bc0c2c,0.0018901416382043654,2.2035329979066436e-05,kungfuteausa
5,"Got a special rose ready for a special someone?
Pair it with a bouquet of boba inspired by our favorite star-crossed heroes 😍

#KungFuTeaxMiraculous #miraculousladybug #Miraculous #kft #Ladybug #kftpartner #kungfuteacollab 
#CatNoir #CocoaCataclysm #SpotsOnLemonade #miraculousdrink #kungfutea #boba #bubbletea #americasbubbletea",2045,31,2024-02-13T18:00:47,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/428058409_797318182426112_2050131869493891711_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMDQ4eDIwNDguc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=bPYpKQunOP4AX9iwkfN&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzMwMTk4NDQ4ODAyNjU0NDM0Mg%3D%3D.2-ccb7-5&oh=00_AfBNnGvMgRfBmjaEps-SYAlfK3ptLXpYVDte9nWmMyHsZA&oe=65D6720E&_nc_sid=fc8dfb,0.005006916645243429,7.58994699278955e-05,kungfuteausa
6,"🐉 Year of the Dragon = Dragon Boba Buddy Plushie 🐉
Our Plushies are in stock! 
Bring home your new Boba Buddy by using the link in our bio today 👩‍💻

#boba #bubbletea #bobagang #KFT #milktea #bobabesties #americasbubbletea #bobamilktea #bobatea #bobalife #bobaaddict #bobarista #bobatime #bubbletealover #bubbleteatime",1561,8,2024-02-10T20:30:09,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/426693216_794875196003744_6629809411361195791_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMDQ4eDIwNDguc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=XRfyzvbViKUAX-SVZqJ&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzI5OTg4NTMzODY2NjYzMTkyNg%3D%3D.2-ccb7-5&oh=00_AfDzMP5D-tb13eLO63FJwWtEoe3gjUvutJyfhgFhkSIWqg&oe=65D677CF&_nc_sid=fc8dfb,0.00382190556636919,1.9586959981392388e-05,kungfuteausa
7,"HAPPY YEAR OF THE DRAGON 🐉
Celebrate with Kung Fu Tea and pick up a bag of Dragon Pop for 50% off when you order through our app 📲

#boba #bubbletea #bobagang #KFT #milktea #bobabesties #americasbubbletea #bobamilktea #bobatea #bobalife #bobaaddict #bobarista #bobatime #bubbletealover #bubbleteatime",458,2,2024-02-10T15:00:32,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/426831178_794872839337313_5823775637769983807_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=105&_nc_ohc=MBiU3okg2aQAX8BSPtL&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzI5OTcxOTQ0MDE4Mjc2NDE2Mw%3D%3D.2-ccb7-5&oh=00_AfATy-KwUJVMrAG6ztsGqbrbzOiaeLzrRb1JyP29r5mtgg&oe=65D529E4&_nc_sid=fc8dfb,0.0011213534589347143,4.896739995348097e-06,kungfuteausa
8,"Still looking for that perfect fuel for the big game?
Take advantage of this limited time catering special! 

#tkk #tkkfriedchicken #sauce #dippingsauce #TKKxKFT #kungfutea #bubbletea #mashup #combo #perfectpair #friedchicken #crispy #tenders #curlyfries #milktea #tkkxkft #chickenxboba",738,3,2024-02-09T21:34:11,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/426374432_914955517039345_3981003346666790251_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDc5eDEwNzkuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=101&_nc_ohc=H4LPl0o4zDYAX8Xxp_J&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MzI5OTE5MjgwMjE2Nzk0NzQ1OQ%3D%3D.2-ccb7-5&oh=00_AfBoBdKpTegpQ0IMvA5pODpNi9Lg1P4qqoOm5g8TfaGZuA&oe=65D500F0&_nc_sid=fc8dfb,0.0018068970582834477,7.345109993022145e-06,kungfuteausa
9,"What’s gonna be in your boba bouquet this Valentine’s Day? 

#boba #bubbletea #bobagang #KFT #milktea #bobabesties #americasbubbletea #bobamilktea #bobatea #bobalife #bobaaddict #bobarista #bobatime #bubbletealover #bubbleteatime",2013,11,2024-02-08T22:30:23,https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/426613545_794200082737922_6967723740856062906_n.jpg?stp=dst-jpg_e15&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyIn0&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=102&_nc_ohc=8lwpEGj7_twAX8kE3ou&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=MzI5ODQ5NjMxMTIwMjc4MjM1Mg%3D%3D.2-ccb7-5&oh=00_AfByuof89ujCVMHJV035GXFikknCH8gpjX2oWi3lWEEn_g&oe=65D6C5C5&_nc_sid=fc8dfb,0.00492856880531786,2.6932069974414533e-05,kungfuteausa
